cliente,recencia,frequencia,valor_monetario,periodo,grupo
188792,120,1,830.099999,120,4
188794,201,1,39.06,201,3
188797,203,2,22.075,226,3
188798,89,5,65.119999000000007,230,5
188801,10,4,540.929998,216,4
188802,11,15,149.213332,242,1
188803,7,2,59.47,42,2
188805,95,1,26.05,95,2
188807,3,22,326.497272,234,1
188810,133,7,254.581427,233,5
188811,119,5,53.758,238,3
188813,236,1,441.93,236,4
188814,30,6,62.483332,219,5
188815,66,3,33.046666,168,5
188816,25,6,211.398333,203,5
188817,2,17,71.121175,239,1
188819,39,13,105.218461,243,5
188820,15,6,134.956666,219,5
188825,24,8,255.522499,229,5
188826,24,4,268.549999,233,5
188827,37,7,115.627142,241,5
188833,14,3,169.883332,170,5
188834,12,5,75.778,236,5
188835,205,2,17.17,227,3
188836,241,1,7.16,241,3
188837,37,7,87.048571,211,5
188839,203,3,193.773333,242,3
188843,62,2,674.244999,169,4
188844,16,42,69.960237,243,1
188845,188,1,75.23,188,3
188846,125,4,270.517499,223,3
188847,1,48,59.210833,234,1
188850,8,26,54.405,243,1
188851,35,5,113.083999,210,5
188852,54,14,164.879285,233,5
188854,242,1,307.58,242,3
188855,1,7,191.271428,219,5
188858,30,7,116.548571,222,5
188859,126,6,193.731665,243,3
188860,210,1,590.029999,210,4
188864,3,19,219.896841,239,1
188866,12,2,51.9,242,5
188872,3,24,167.404582,242,1
188873,186,1,18.48,186,3
188874,55,1,38.01,55,2
188875,67,4,267.827499,213,5
188877,205,3,91.73,238,3
188879,171,11,26.561818,241,3
188880,78,2,519.569999,218,4
188882,30,10,89.866,239,5
188883,238,1,160.03,238,3
188885,5,25,57.198399,243,1
188888,209,1,550.18,209,4
188891,166,10,95.573999,242,3
188894,63,13,221.714615,243,5
188895,211,1,343.019999,211,3
188896,204,2,83.919997,235,3
188897,22,26,74.060768,241,1
188898,3,15,54.720666,217,1
188899,11,28,25.101785,220,1
188901,186,1,56.54,186,3
188903,239,1,23.7,239,3
188904,153,17,80.14294,243,1
188907,2,26,141.406153,241,1
188909,47,3,233.829999,61,2
188911,22,10,430.285999,226,5
188912,30,18,101.20111,232,1
188913,215,2,20.775,240,3
188914,237,1,77.969999,237,3
188916,213,4,26.315,239,3
188917,23,8,117.822499,191,5
188919,15,14,174.75357,238,1
188920,218,1,888.969999,218,4
188921,7,24,284.964582,224,1
188922,240,1,18.51,240,3
188923,20,20,90.552499,238,1
188927,230,1,159.13,230,3
188929,57,15,73.295333,240,1
188931,109,4,433.062498,240,4
188932,104,8,170.231249,240,5
188934,64,5,96.281999,236,5
188935,10,3,96.406666,206,5
188936,12,7,114.187142,243,5
188937,77,8,377.278749,231,5
188940,230,2,104.22,241,3
188941,8,33,77.287272,242,1
188946,91,10,450.930999,232,4
188947,236,1,163.33,236,3
188950,177,2,278.774999,229,3
188953,102,3,56.933333,241,5
188955,18,10,43.250999,234,5
188956,154,5,167.226,215,3
188957,129,1,80.75,129,3
188959,15,10,172.382999,240,5
188963,59,12,285.769999,225,5
188965,10,19,180.802631,213,1
188966,8,4,136.372499,191,5
188967,115,3,874.31333,210,4
188973,13,3,231.396666,77,2
188974,229,2,258.424999,240,3
188976,240,1,40.73,240,3
188979,64,11,82.14909,223,5
188981,2,26,264.724614,243,1
188984,29,11,90.966363,217,5
188985,46,32,38.655312,243,1
188987,52,11,81.244545,237,5
188989,14,19,93.103157,241,1
188990,150,5,96.561999,241,3
188991,11,7,290.08857,213,5
188992,150,6,71.616666,220,3
188996,130,3,183.686666,199,3
189001,30,2,420.944999,58,2
189004,10,12,69.789166,243,5
189005,33,8,122.192499,243,5
189006,242,1,194.04,242,3
189007,77,4,132.65,243,5
189008,109,6,32.163333,240,5
189011,217,3,76.066666,236,3
189016,90,4,50.522499,235,5
189017,101,3,278.369998,193,5
189019,4,21,280.743333,223,1
189020,118,5,308.708,230,5
189023,25,7,44.961428,236,5
189024,209,1,15.37,209,3
189026,196,4,412.279997,238,4
189028,204,9,45.494444,243,3
189029,121,3,368.259999,213,4
189031,178,2,31.575,222,3
189032,5,12,141.208333,243,5
189033,56,5,425.103999,205,4
189034,6,28,218.527856,239,1
189035,16,18,182.908888,242,1
189036,38,10,274.339999,236,5
189037,103,15,66.502666,243,1
189038,7,10,473.429999,217,5
189039,132,1,266.16,132,3
189042,237,1,80.649999,237,3
189047,227,1,22.76,227,3
189048,243,1,348.05,243,3
189050,130,2,32.83,194,3
189051,142,2,636.149999,159,4
189052,203,1,60.07,203,3
189055,16,3,16.866666,77,2
189061,239,1,66.42,239,3
189062,3,9,611.644443,214,4
189063,32,11,198.772727,242,5
189064,239,1,94.61,239,3
189065,52,18,114.14611,238,1
189066,122,4,328.154999,220,4
189067,179,1,307.839997,179,3
189069,46,8,84.35875,206,5
189070,4,14,320.850713,191,5
189071,6,10,118.472999,234,5
189072,118,5,135.361999,216,3
189073,208,2,151.54,241,3
189074,98,5,337.799999,214,4
189076,140,4,417.022499,231,4
189077,57,20,93.722499,243,1
189079,235,1,16.98,235,3
189081,3,13,261.280769,218,5
189082,93,1,503.589999,93,4
189084,27,12,112.704166,235,5
189087,3,27,83.354814,242,1
189089,91,1,238.21,91,2
189090,10,3,235.193332,173,5
189091,198,3,236.116666,235,3
189092,127,3,285.103331,241,3
189095,8,7,38.911428,212,5
189096,141,8,151.787499,231,3
189102,168,15,67.768,242,3
189105,181,2,233.899999,240,3
189107,5,9,133.984444,243,5
189109,240,2,304.91,242,3
189110,81,20,106.620499,243,1
189112,192,4,86.732497,222,3
189113,230,3,197.019999,237,3
189119,84,4,250.44,189,5
189121,101,6,98.653333,224,5
189122,48,20,31.093499,240,1
189123,239,1,83.689999,239,3
189127,214,1,795.9,214,4
189129,113,1,18.1,113,2
189130,91,4,85.335,218,5
189133,14,10,343.255999,184,5
189143,177,2,424.299999,206,4
189145,203,1,74.06,203,3
189146,16,7,33.417142,204,5
189147,154,10,48.434,237,3
